word,비교A,비교B
빛공해(광공해),1,1
비닐공해,1,1
소음공해,1,1
열오염(온배수공해),1,1
ISO(국제표준화기구),1,1
온실가스 저감인증(CERs),1,1
음식물류 폐기물 종량제,1,1
매립가스(LFG),1,1
가공식품,1,1
2차 에너지,1,1
FDA,1,1
ABS 세제,1,1
N-헥산 추출물,1,1
1차 에너지,1,1
IC 세정제,1,1
PCB,1,1
HDL병,1,1
NO2(이산화질소),1,1
HC(탄화수소),1,1
1차 오염,1,1
EPN,1,1
ECCS·긴급노심냉각장치,1,1
HCB,1,1
IAQ(Indoor Air Quality),1,1
2차 오염,1,1
HCFC,1,1
2차림,1,1
DO,1,1
6가크롬,1,1
BOD,1,1
가연성 쓰레기,1,1
간척지,1,1
가축 공장,1,1
THM(tri halometane),1,1
PVC랩,1,1
가와사키병,1,1
가스상 오염물,1,1
SO2,1,1
가죽 가공,1,1
가루비누,1,1
가족농,1,1
가시피해,1,1
가연성 먼지,1,1
가이아,1,1
가정하수,1,1
P-디크로로벤젠,1,1
VDT 증후군,1,1
가시광선,1,1
검댕,1,1
고기압,1,1
고분자 응집제,1,1
강하먼지,1,1
개체군,1,1
건축공해,1,1
경구독성,1,1
경피독성,1,1
경지 면적,1,1
고도 정수처리,1,1
건전지,1,1
고도처리,1,1
경관,1,1
강하분진,1,1
경작포기,1,1
경제 수역,1,1
겸업 농가,1,1
경도(hardness),1,1
건축폐기물,1,1
계면활성제,1,1
건강식품,1,1
건설소음,1,1
경수,1,1
검역·검역소,1,1
건습구온도계,1,1
경수로·경수형 원자로,1,1
개발도상국,1,1
경지 황폐화,1,1
거주공간,1,1
공기 오염물,1,1
공해추방운동,1,1
공기청정 장치,1,1
고정오염원,1,1
고엽제,1,1
공해수출,1,1
공업단지,1,1
공생,1,1
공공재,1,1
공업적 농업,1,1
곡물 메이저,1,1
공업폐수,1,1
고정 발생원·점오염원,1,1
공공성,1,1
곰팡이 독,1,1
공기정화,1,1
고속도로,1,1
공동폐수처리,1,1
공기 주입 타이어,1,1
고형폐기물,1,1
공장폐수,1,1
고준위방사성폐기물,1,1
공동채,1,1
고속증식로,1,1
공해,1,1
광산폐수,1,1
광산 배수,1,1
과잉염소처리,1,1
광역 상수원,1,1
국제조류보호회의,1,1
국제열대림목재기관,1,1
광화학 스모그,1,1
국립공원,1,1
국제학술연합,1,1
규조,1,1
광산,1,1
과학기술처,1,1
과잉포장,1,1
국제표준화기구,1,1
국제화학물질안전성계획,1,1
관개용수,1,1
국민환경지표 시계,1,1
관거,1,1
국지 오염,1,1
국제해양기구,1,1
국제자연보호연맹,1,1
과산화수소,1,1
광합성,1,1
과망간산칼륨,1,1
국제식량농업기구,1,1
광산화물질(옥시던트),1,1
구리,1,1
국제유해화학물질등록제도,1,1
국제산림의 해,1,1
관광,1,1
납,1,1
극상림(極相林),1,1
그린 GNP,1,1
남조류,1,1
낚시줄 공해,1,1
나이로비 선언,1,1
기후 변동 준비 세계 회합,1,1
기상 위성,1,1
그린 라운드(Green Round),1,1
그을음,1,1
납 공해,1,1
기계화 농업,1,1
그린넷,1,1
글로벌 500(gobal 500),1,1
그린마케팅,1,1
기후변화,1,1
그린빌딩 인증제도,1,1
기후모델,1,1
그린벨트(green belt),1,1
기능성 식품,1,1
그린피스,1,1
기형아,1,1
난류,1,1
기술장벽 협정,1,1
납오염,1,1
기름오염,1,1
농약오염,1,1
다미노지드,1,1
녹색소비자 운동,1,1
농약잔류독성,1,1
누수량,1,1
다단식소각로,1,1
니트로소 화합물,1,1
농업용수,1,1
농약공업폐수,1,1
녹색혁명,1,1
농공단지,1,1
냉각수,1,1
낭핵종,1,1
냉매,1,1
농약,1,1
냉각수 오염,1,1
농도,1,1
다운워싱,1,1
노킹,1,1
님비증후군,1,1
납중독,1,1
니켈,1,1
농약공해,1,1
녹조류,1,1
다국적 기업,1,1
농도 규제 방식,1,1
대기 대순환,1,1
담배,1,1
다이옥신,1,1
대류권,1,1
담수호,1,1
대량절멸,1,1
대기오염원,1,1
대기압,1,1
단작화,1,1
다코닐,1,1
대순환모델,1,1
다이아지논,1,1
다품목 소량생산,1,1
대기오염물질,1,1
대장균,1,1
대량소비,1,1
대량밀집 사육방식,1,1
대량폐기,1,1
대량생산,1,1
대장균군,1,1
대규모 전업농,1,1
다코렉스,1,1
도시기후,1,1
도시하수,1,1
도살장폐수,1,1
도금폐수,1,1
도시 사막화,1,1
도시화,1,1
라듐,1,1
디엘드린,1,1
드린계 농약,1,1
도시소음,1,1
디스포저,1,1
디디티(DDT),1,1
런던형 스모그,1,1
리어엔진,1,1
로스앤젤레스형 스모그,1,1
망간,1,1
만성중독,1,1
마그네슘,1,1
뢴트겐,1,1
망간 모래,1,1
루테늄106,1,1
로마클럽,1,1
마그마,1,1
망간 박테리아,1,1
먼지(TSP),1,1
면역,1,1
먹이사슬,1,1
망간 산화물,1,1
모피,1,1
메틸브로마이드,1,1
목재,1,1
메틸수은,1,1
목재수입국,1,1
메탄올 차,1,1
매립지,1,1
모래여과,1,1
명료도,1,1
메틸아민,1,1
망간단괴,1,1
메탄올,1,1
메탄,1,1
매연,1,1
매연공해,1,1
메탄올·에탄올,1,1
반감기,1,1
물의 급수,1,1
미군기지,1,1
바이오매스,1,1
무기수은 화합물,1,1
바이오리액터,1,1
무농약 재배,1,1
미스트(mist),1,1
무기수은제,1,1
미나마따병,1,1
바이러스,1,1
무궤도 열차,1,1
바퀴벌레 방제,1,1
미생물 농약,1,1
무산소층,1,1
미사일,1,1
미래형 증기기관차,1,1
바젤협약,1,1
바이오 재료,1,1
바이오가스,1,1
묘지,1,1
바이오센서,1,1
무역풍,1,1
미생물처리,1,1
무스카린,1,1
무린세제,1,1
방사성 희귀 가스,1,1
배합사료,1,1
버그 선언,1,1
방진재,1,1
배출기준,1,1
방생,1,1
방사성 폐기물,1,1
발암물질,1,1
방사능,1,1
방음재,1,1
반원전운동·반핵운동,1,1
배출권거래제도(Emission Trading),1,1
배수처리법,1,1
방사선 조사식품,1,1
방사선피폭,1,1
방사성 동위원소,1,1
배출부과금 제도,1,1
방사능 오염물질,1,1
배기가스,1,1
배수지,1,1
베타선,1,1
발포제,1,1
방사선,1,1
벤젠,1,1
방사성 요오드,1,1
발포 폴리스티렌·발포 스티톨,1,1
불가시 피해,1,1
부패탱크,1,1
부영양화(富營養化),1,1
분산형 에너지,1,1
분쟁조정,1,1
변이원성,1,1
분말활성탄,1,1
복합유축농업,1,1
부착오염,1,1
복류수,1,1
분진,1,1
부담금제도·배출부과금,1,1
벤조피엔,1,1
복합 사이클 발전,1,1
부유입자상 물질,1,1
부유물,1,1
부유물질(SS),1,1
복합오염,1,1
부유분진,1,1
분진폭발,1,1
벼멸구,1,1
분뇨처리,1,1
부메랑효과,1,1
비료,1,1
불쾌지수,1,1
비(非)이온계면활성제,1,1
불매운동,1,1
비소,1,1
불연성쓰레기,1,1
불법 투기,1,1
빈곤,1,1
불화수소,1,1
빈영양호(貧營養湖),1,1
브로일러,1,1
비정부기구,1,1
붉은 녹,1,1
비료오염,1,1
비무장지대,1,1
산성비,1,1
사카린,1,1
사치리온,1,1
산성호수,1,1
빌딩 증후군,1,1
사에틸납,1,1
산림보전원칙성명,1,1
사회적 임업,1,1
사이클론,1,1
산성안개,1,1
빙실효과,1,1
산업공해,1,1
