Column1,Column2,Column3
"유 의원은 ""이번 세미나가 민 관 군이 힘을 모아 산불 대응 전략을 전면 재정비하는 일대 전환점이 되기를 기대한다""며 ""더는 초대형 산불이 예고된 재난으로 반복되지 않도록, 실효성 있는 제도 개선과 현장 중심의 정책 마련에 끝까지 책임을 다하겠다""고 말했다.","유 의원 ""이번 세미나 민 관 군 힘 모아 산불 대응 전략 전면 재정비하는 일대 전환점 되기 기대한다""며 ""더 초대형 산불 예고된 재난 반복되지 않도록, 실효성 있는 제도 개선 현장 중심 정책 마련 끝 책임 다하겠다"" 말했다.",세미나
"해당 자금은 영농자재 50% 할인 공급, 농기계 수리, 농작업 대행 등에 사용되며 이를 위해 73명의 수리 인력과 55대의 이동 정비 차량을 피해 지역에 투입해 복구 작업를 지원하고 있다.","해당 자금 영농자재 50% 할인 공급, 농기계 수리, 농작업 대행 등 사용되며 이 위해 73명 수리 인력 55대 이동 정비 차량 피해 지역 투입해 복구 작업 지원하고 있다.",수리
"오 시장 측은 이날 공지를 통해 ""짧지만 대한민국 역사의 기로에 선 중대한 선거""라고 밝혔다. ","오 시장 측 이날 공지 통해 ""짧지만 대한민국 역사 기로 선 중대한 선거"" 밝혔다. ",공지
"이 의원은 기자들을 만나 ""(이번 조기대선에선) 미래 지향적이고 글로벌 환경에 적응할 수 있는, 그리고 과학기술 분야에 대한 전문성이 있는 후보가 주목받을 것""이라고 밝혔다.","이 의원 기자들 만나 ""(이번 조기대선) 미래 지향적이고 글로벌 환경 적응할 수 있는, 그리고 과학기술 분야 대한 전문성 있는 후보 주목받을 것"" 밝혔다.",글로벌
"내포농원은 우박 피해방지시설, 햇빛 차단만, 방조망, 방풍망 등 재해 예방시설과 무인 급수시설 등 스마트 시스템을 설치한 과수원이다.","내포농원 우박 피해방지시설, 햇빛 차단, 방조망, 방풍망 등 재해 예방시설 무인 급수시설 등 스마트 시스템 설치한 과수원이다.",시스템
"경북개발공사는 지난 3월 26일 대한적십자사 경북지사와 경북 사회복지공동모금회에 성금 4000만원을 기탁한데 이어, '작은 나눔으로, 희망의 경북으로'라는 슬로건 아래 임직원들의 자발적인 참여로 추가 모금한 1000만원을 경북 사회복지공동모금회에 전달했다.","경북개발공사 지난 3월 26일 대한적십자사 경북지사 경북 사회복지공동모금회 성금 4000만원 기탁한데 이어, '작은 나눔, 희망 경북'라는 슬로건 아래 임직원들 자발적인 참여 추가 모금한 1000만원 경북 사회복지공동모금회 전달했다.",슬로건
"금융기관과의 협력을 통해 산불 피해 중소기업을 대상으로 하는 저금리 금융상품을 발굴해 자금 지원을 추진할 계획이며, 그동안 경북 내 스타트업, 중소기업을 대상으로 운영해온 동반성장 상생펀드의 지원대상을 확대하는 방침 역시 내부 논의중이다.","금융기관 협력 통해 산불 피해 중소기업 대상 하는 저금리 금융상품 발굴해 자금 지원 추진할 계획이며, 그동안 경북 내 스타트업, 중소기업 대상 운영해온 동반성장 상생펀드 지원대상 확대하는 방침 역시 내부 논의중이다.",스타트업
"경북의 스타트업, 중소기업을 대상으로 운영해 온 '동반성장 상생펀드' 지원 대상도 확대할 방침이다.","경북 스타트업, 중소기업 대상 운영해 온 '동반성장 상생펀드' 지원 대상 확대할 방침이다.",스타트업
"해당 기관은 엘리트 선수들을 대상으로 한 전문 재활치료는 물론, 부상 방지와 체력 강화를 위한 컨디셔닝 케어, 피지컬 트레이닝 등 개인별 특성에 맞춘 퍼스널 트레이닝을 운영 중이다.","해당 기관 엘리트 선수들 대상 한 전문 재활치료 물론, 부상 방지 체력 강화 위한 컨디셔닝 케어, 피지컬 트레이닝 등 개인별 특성 맞춘 퍼스널 트레이닝 운영 중이다.",케어
영덕산불 방파제 고립자 구조 파출소 해양재난구조대 격려     동해지방해양경찰청은 9일 최근 경북 의성 산불이 울진 해안까지 확산했던 시기 악천후 속에서도 방파제에 고립된 100여 명을 무사히 구조한 강구 축산파출소 및 구조대 등을 방문해 노고를 위로하고 격려했다고 밝혔다.,영덕산불 방파제 고립자 구조 파출소 해양재난구조대 격려     동해지방해양경찰청 9일 최근 경북 성 산불 울진 해안 확산했던 시기 악천후 속 방파제 고립된 100여 명 무사히 구조한 강구 축산파출소 및 구조대 등 방문해 노고 위로하고 격려했다고 밝혔다.,악천후
